SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
BBTC,979.5,925.75,1008.15,1215.9
BBTCL,245.5,239.0,,243.7
BCG,16.15,28.9,39.75,17.5
BCLIND,493.3,318.9,353.7,551.9
BDL,1143.5,944.15,869.35,1064.4
BECTORFOOD,1041.0,433.35,370.55,948.05
BEDMUTHA,70.25,60.4,68.25,72.3
BEL,137.85,100.35,111.1,135.7
BEML,2495.2,1522.3,,2409.2
BEPL,93.05,121.65,128.25,92.25
BERGEPAINT,719.85,579.05,654.85,719.7
BFINVEST,513.3,420.6,319.8,511.4
BFSI,20.08,,,20.83
BFUTILITIE,672.9,418.5,448.1,662.3
BGRENERGY,64.4,61.4,83.4,67.65
BHAGCHEM,1206.1,1269.8,1521.7,1236.4
BHAGERIA,164.05,161.3,197.7,160.45
BHAGYANGR,70.1,46.1,50.3,
BHARATFORG,1078.8,878.85,784.75,1134.4
BHARATGEAR,124.75,124.55,242.65,125.3
BHARATRAS,9435.65,9884.2,11966.2,9194.45
BHARATWIRE,241.2,107.15,120.0,261.0
BHARTIARTL,865.95,817.6,785.1,936.15
BHEL,136.15,80.35,61.7,127.6
BIGBLOC,171.0,140.0,127.75,154.9
BIKAJI,487.05,425.75,,494.65
BIOCON,260.8,263.4,299.45,276.75
BIOFILCHEM,48.25,54.25,52.05,51.95
BIRLACABLE,330.9,158.95,148.9,348.05
BIRLACORPN,1171.1,988.35,1110.05,1214.85
BIRLAMONEY,70.35,61.15,61.95,70.95
BLAL,180.15,,,171.3
BLBLIMITED,22.7,28.6,21.1,23.65
BLISSGVS,97.55,73.0,84.8,95.6
BLKASHYAP,54.05,32.0,24.7,52.8
BLS,285.75,171.5,291.55,275.95
BLUEDART,6282.25,7814.55,8616.2,6988.25
BLUESTARCO,745.25,1204.7,1134.45,794.7
BODALCHEM,84.9,79.35,96.75,82.3
BOMDYEING,137.5,80.3,105.45,152.85
BOROLTD,431.25,378.7,371.85,408.1
BORORENEW,444.25,512.25,565.75,428.25
BOSCHLTD,18986.8,17133.75,17341.6,19664.6
BPCL,344.2,336.85,331.4,352.25
BPL,73.9,64.2,83.0,88.05
BRIGADE,595.0,466.35,569.05,619.85
BRITANNIA,4484.35,4241.85,3721.55,4532.85
BRNL,38.55,40.6,37.8,41.85
BSE,1126.15,565.55,668.05,1272.95
BSLGOLDETF,53.35,50.05,45.37,53.12
BSLNIFTY,22.01,20.42,20.13,22.9
BSLSENETFG,63.9,59.2,57.67,66.14
BSOFT,528.35,299.6,319.2,504.0
BURNPUR,4.95,5.6,5.65,5.1
BUTTERFLY,1216.6,1568.65,1532.8,1238.0
BYKE,39.2,42.5,47.7,38.9
CALSOFT,14.0,20.5,22.0,14.75
CAMLINFINE,173.6,161.0,132.8,172.75
CAMPUS,303.75,411.1,552.5,301.65
CAMS,2356.1,2214.3,2592.6,2596.05
CANBK,328.4,336.8,252.45,364.85
CANFINHOME,760.0,548.65,664.35,781.25
CANTABIL,1021.7,1249.7,1498.45,1120.05
CAPACITE,228.3,156.4,186.4,215.1
CAPLIPOINT,1096.3,724.55,754.7,1044.8
CAPTRUST,92.6,79.05,102.45,105.5
CARBORUNIV,1136.35,888.3,925.55,1192.2
CARERATING,825.45,617.05,520.3,851.7
CARTRADE,563.9,482.6,690.3,594.5
CARYSIL,666.55,469.4,,636.65
CASTROLIND,142.95,125.7,117.9,145.3
CCL,604.25,541.8,520.75,673.8
CDSL,1141.45,1153.2,1358.75,1344.4
CEATLTD,2256.05,1637.7,1661.6,2139.8
CELEBRITY,19.6,18.15,22.75,18.0
CENTENKA,428.4,419.0,458.45,439.3
CENTEXT,11.35,10.05,,
CENTRALBK,34.95,32.7,21.15,47.1
CENTRUM,23.85,24.65,28.2,25.15
CENTURYPLY,691.4,516.95,679.3,669.4
CENTURYTEX,1072.05,726.7,894.1,1091.95
CERA,9546.3,5271.95,5771.9,8599.65
CESC,86.45,77.35,83.3,90.1
CGCL,806.25,756.05,724.35,767.95
CGPOWER,423.95,274.2,237.65,436.2
CHALET,540.75,351.05,348.9,559.95
CHAMBLFERT,278.95,314.55,354.35,286.65
CHEMBOND,411.85,250.55,201.4,381.0
CHEMCON,279.65,298.4,443.3,297.9
CHEMFAB,365.9,289.15,431.25,380.9
CHEMPLASTS,528.55,463.8,428.85,498.0
CHENNPETRO,412.55,208.25,280.7,518.95
CHEVIOT,1190.1,1193.5,1170.55,1188.4
CHOICEIN,380.2,257.7,473.45,415.4
CHOLAFIN,1128.85,728.5,792.8,1227.1
CHOLAHLDNG,963.85,559.95,682.1,1152.35
CIEINDIA,519.45,,,508.25
CIGNITITEC,803.8,566.25,581.05,810.15
CINEVISTA,14.05,12.0,14.35,13.75
CIPLA,1245.4,1075.9,1033.3,1235.5
CLEAN,1412.15,1488.9,1955.15,1456.9
CLEDUCATE,79.0,71.2,170.05,76.2
CLSEL,202.25,134.15,118.85,202.1
CMSINFO,358.3,311.25,275.75,362.15
COALINDIA,236.9,224.1,234.25,279.3
COASTCORP,278.25,235.65,355.9,268.0
COCHINSHIP,908.5,534.4,375.9,1107.05
COFFEEDAY,52.7,49.25,64.3,52.15
COFORGE,5451.9,4019.55,3418.85,5618.9
COLPAL,1939.4,1517.35,1631.35,1985.85
COMPINFO,13.35,20.45,26.95,12.8
COMPUSOFT,22.9,20.45,24.0,22.2
CONCOR,687.0,744.0,763.55,717.35
CONCORDBIO,971.05,,,1013.85
CONFIPET,94.55,81.2,79.45,89.9
CONSUMBEES,91.58,82.53,87.49,93.82
CONTROLPR,787.9,403.5,485.9,776.05
CORALFINAC,42.15,34.05,38.95,40.65
COROMANDEL,1111.0,900.55,1027.0,1136.7
COSMOFIRST,721.65,781.55,880.15,680.35
COUNCODOS,4.05,,4.35,4.3
CPSEETF,49.41,38.37,38.0,51.91
CRAFTSMAN,4895.25,3574.4,2810.2,4812.05
CREATIVE,581.95,575.6,499.2,516.85
CREATIVEYE,3.4,4.2,5.4,3.8
CREDITACC,1409.2,891.25,1000.6,1381.4
CREST,243.0,196.4,177.35,235.6
CRISIL,3929.05,2951.65,3203.3,3873.55
CROMPTON,303.05,347.0,404.05,307.0
CSBBANK,327.25,251.2,229.2,323.15
CSLFINANCE,315.0,265.0,240.15,321.05
CUB,125.6,178.95,182.75,132.55
CUMMINSIND,1706.0,1395.85,1248.3,1747.35
CUPID,373.25,269.65,229.75,405.3
CYBERMEDIA,18.55,18.3,18.0,
CYIENT,1709.75,820.0,839.0,1711.9
CYIENTDLM,622.4,,,679.2
