SYMBOL,2022-09-15,2023-01-03,2023-09-01,2023-09-15
HMAAGRO,,,764.1,789.85
HNDFDS,480.95,,549.25,548.2
HNGSNGBEES,264.9,292.9,268.61,271.45
HOMEFIRST,890.6,739.9,863.3,849.45
HONAUT,41889.4,41044.8,39397.6,40010.2
HONDAPOWER,1507.3,2219.75,2638.15,2767.35
HPAL,445.75,380.9,531.05,487.5
HPIL,,104.1,133.5,
HPL,73.85,102.2,232.8,221.3
HSCL,103.95,99.7,233.35,241.7
HTMEDIA,23.9,22.25,24.05,25.7
HUDCO,39.5,53.05,76.4,73.1
HUHTAMAKI,214.5,201.75,259.45,263.05
IBMFNIFTY,186.69,191.95,197.92,201.6
IBREALEST,81.9,83.4,81.15,78.1
IBULHSGFIN,136.7,150.65,197.1,191.9
ICEMAKE,,278.6,491.1,502.35
ICICI10GS,,207.0,218.2,219.35
ICICI500,26.2,25.96,28.67,29.66
ICICI5GSEC,50.17,50.65,53.24,53.49
ICICIALPLV,176.05,174.26,197.82,204.17
ICICIAUTO,134.08,127.02,161.79,166.87
ICICIB22,55.1,57.56,71.59,74.7
ICICIBANK,917.6,901.35,968.7,992.45
ICICIBANKN,41.33,43.49,44.82,46.62
ICICIBANKP,210.32,219.41,230.84,238.47
ICICICOMMO,,59.76,63.63,66.29
ICICICONSU,81.15,76.1,84.87,87.05
ICICIFIN,,16.93,19.79,20.36
ICICIFMCG,449.6,450.37,528.96,535.74
ICICIGI,1234.85,1267.6,1341.35,1377.85
ICICIGOLD,44.22,49.07,51.92,51.56
ICICIINFRA,54.12,54.05,61.3,64.12
ICICILIQ,1000.0,999.99,999.99,999.99
ICICILOVOL,143.22,142.82,161.0,165.94
ICICIM150,124.53,122.46,151.1,155.62
ICICIMCAP,109.71,100.67,119.75,122.59
ICICIMOM30,20.39,19.72,22.58,23.27
ICICINF100,200.08,200.75,212.57,220.58
ICICINIFTY,194.42,198.38,213.11,221.44
ICICINV20,95.98,99.83,111.43,116.28
ICICINXT50,46.79,43.8,46.39,47.54
ICICIPHARM,79.69,81.02,95.67,99.33
ICICIPRULI,575.2,468.85,561.8,595.0
ICICIQTY30,,,160.14,166.79
ICICISENSX,660.94,673.99,727.99,753.91
ICICISILVE,58.1,71.35,76.13,73.34
ICICITECH,28.68,30.12,33.02,34.98
ICIL,156.7,141.05,246.55,243.85
ICRA,3777.8,4929.85,5708.7,5726.2
IDBI,46.1,55.9,60.05,69.6
IDEA,9.65,7.95,10.0,11.7
IDEAFORGE,,,984.8,990.8
IDFC,69.75,84.75,123.5,126.45
IDFCFIRSTB,52.75,61.35,93.4,94.55
IDFNIFTYET,189.81,194.0,208.4,216.0
IEX,162.6,142.65,131.75,134.35
IFBAGRO,620.85,539.0,518.4,537.15
IFBIND,1044.0,935.65,960.35,946.55
IFCI,11.05,14.5,15.9,16.75
IFGLEXPOR,273.55,262.25,474.65,485.15
IGARASHI,448.85,419.65,584.05,620.55
IGL,435.35,419.3,467.05,473.4
IGPL,615.65,525.9,502.85,533.6
IIFL,362.85,466.4,595.2,585.35
IIFLSEC,78.55,66.1,80.25,79.55
IKIO,,,378.65,361.25
IMAGICAA,,40.1,56.7,56.4
IMFA,267.85,279.6,392.9,388.95
IMPAL,751.3,730.65,809.55,807.85
INCREDIBLE,24.75,22.3,29.55,29.9
INDBANK,23.3,33.05,31.8,40.65
INDHOTEL,333.9,320.2,424.25,416.65
INDIACEM,270.3,222.35,260.95,247.4
INDIAGLYCO,905.35,775.55,769.7,707.2
