SYMBOL,momentum_total
JTEKTINDIA,32.233
CASTROLIND,32.217
NCC,32.216
MANINFRA,32.215
SHIVATEX,32.212
LFIC,32.209
IRCON,32.208
PANACEABIO,32.208
GREAVESCOT,32.205
NAHARINDUS,32.195
HIMATSEIDE,32.192
EIFFL,32.190
MAXIND,32.175
FEDERALBNK,32.170
ENIL,32.161
PRIMESECU,32.155
MENONBE,32.149
HEXATRADEX,32.146
NMDC,32.144
DJML,32.138
MUNJALSHOW,32.128
ZUARIIND,32.117
RUCHIRA,32.114
NIFMID150,32.110
HDFCMID150,32.104
BOMDYEING,32.100
ENGINERSIN,32.096
NYKAA,32.090
BANSWRAS,32.077
MID150BEES,32.061
ICICIM150,32.060
NAVNETEDUL,32.055
AEROFLEX,32.048
TIMETECHNO,32.043
DCAL,32.042
HARRMALAYA,32.028
SHALPAINTS,32.028
REDINGTON,32.027
BHAGERIA,31.994
GANESHBE,31.991
GREENPLY,31.988
HINDCOPPER,31.983
SHK,31.982
ZUARI,31.965
STARCEMENT,31.960
RPPL,31.946
STLTECH,31.933
ELIN,31.932
ICICILOVOL,31.924
LORDSCHLO,31.923
SURYODAY,31.921
DAAWAT,31.913
DCMNVL,31.913
ICICIQTY30,31.913
AUTOBEES,31.912
ICICIAUTO,31.912
UNIENTER,31.909
PCBL,31.904
GATI,31.904
MANINDS,31.899
PYRAMID,31.894
BALMLAWRIE,31.887
FSL,31.882
TRIL,31.879
RVNL,31.873
ARVIND,31.865
BLAL,31.860
HINDOILEXP,31.859
MUKANDLTD,31.852
CAMLINFINE,31.843
GSFC,31.842
GSLSU,31.832
SMARTLINK,31.831
VPRPL,31.823
RAIN,31.817
GEPIL,31.806
SBIETFQLTY,31.804
ARIES,31.785
DBOL,31.779
DELTACORP,31.757
ORIENTCEM,31.755
RAMCOIND,31.739
ASHOKLEY,31.734
GTPL,31.728
ABCAPITAL,31.719
ARIHANTSUP,31.704
KUANTUM,31.700
ONGC,31.698
APCL,31.691
HEIDELBERG,31.687
INDUSTOWER,31.683
VERANDA,31.652
IBULHSGFIN,31.649
POWERGRID,31.630
DSPQ50ETF,31.625
REPL,31.624
RELCHEMQ,31.614
BBOX,31.614
ITI,31.608
RSWM,31.608
INOXWIND,31.599
KITEX,31.593
EPL,31.591
GEECEE,31.587
PARAGMILK,31.585
VLSFINANCE,31.572
IBMFNIFTY,31.566
CLSEL,31.562
ASHIANA,31.559
ICICIALPLV,31.545
MOM50,31.543
SPECIALITY,31.537
SHREEPUSHK,31.523
GICHSGFIN,31.522
JAYAGROGN,31.518
SUNFLAG,31.509
NIF100BEES,31.504
SETFNIF50,31.498
BANKBARODA,31.494
JOCIL,31.493
DEVYANI,31.489
SARDAEN,31.489
VSSL,31.486
NETF,31.480
NIFTYETF,31.479
JAICORPLTD,31.473
DHARMAJ,31.473
CAPACITE,31.463
LICNFNHGP,31.463
GRMOVER,31.460
TI,31.458
AXISNIFTY,31.456
KOTAKNIFTY,31.453
PAKKA,31.453
JTLIND,31.440
LICNETFN50,31.438
SETF10GILT,31.437
SUPERHOUSE,31.435
ICICINF100,31.425
HDFCNIFTY,31.423
HPL,31.420
ICICINIFTY,31.419
TVTODAY,31.416
ANANTRAJ,31.414
TVSSCS,31.412
NIFTYBEES,31.411
RAILTEL,31.410
ORIENTELEC,31.407
NATHBIOGEN,31.405
NCLIND,31.402
SKIPPER,31.399
QUICKHEAL,31.394
ABFRL,31.393
FINPIPE,31.389
PRECOT,31.388
TIRUMALCHM,31.386
ITDCEM,31.384
KTKBANK,31.376
KALYANKJIL,31.372
KOPRAN,31.366
DTIL,31.365
STARPAPER,31.365
MOIL,31.360
KAKATCEM,31.354
RBLBANK,31.344
BAJAJCON,31.344
PLASTIBLEN,31.343
TAJGVK,31.342
SAGCEM,31.334
GICRE,31.332
CREST,31.330
VEDL,31.326
NTPC,31.326
APEX,31.325
EIHOTEL,31.324
HERITGFOOD,31.316
SHALBY,31.314
ICICIBANKP,31.313
RALLIS,31.311
JIOFIN,31.308
ADFFOODS,31.308
SPARC,31.305
SBIETFPB,31.301
SREEL,31.300
PETRONET,31.299
HSCL,31.295
DBCORP,31.286
BBTCL,31.284
ICIL,31.283
NPBET,31.282
DSPNEWETF,31.281
RECLTD,31.277
NOCIL,31.272
WOCKPHARMA,31.267
INDIACEM,31.264
RAMAPHO,31.253
BANDHANBNK,31.253
URAVI,31.249
HINDPETRO,31.238
TDPOWERSYS,31.234
NAHARPOLY,31.232
RUBYMILLS,31.231
LIBERTSHOE,31.230
ASAHISONG,31.221
UNIDT,31.220
TATACOFFEE,31.207
JKTYRE,31.206
DEEPINDS,31.201
RACE,31.199
BHARATWIRE,31.195
ASPINWALL,31.191
KIOCL,31.190
RELIGARE,31.190
INDIANHUME,31.188
HUHTAMAKI,31.186
SALONA,31.182
AVG,31.182
TATAPOWER,31.181
HBLPOWER,31.173
PPL,31.173
COASTCORP,31.163
EXIDEIND,31.162
GENUSPOWER,31.153
DVL,31.153
SRGHFL,31.152
TNPL,31.151
SSWL,31.149
HNGSNGBEES,31.147
RUPA,31.142
NAHARSPING,31.141
RAMCOSYS,31.136
ZEEL,31.136
PRECAM,31.135
SCHAND,31.134
NRBBEARING,31.134
KHADIM,31.130
BLS,31.128
KNRCON,31.127
BIOCON,31.125
APTUS,31.118
GSPL,31.115
COALINDIA,31.114
PFC,31.114
JAYBARMARU,31.108
KIRIINDUS,31.105
SASTASUNDR,31.094
OIL,31.093
RAMRAT,31.085
IPL,31.085
CHAMBLFERT,31.084
GMDCLTD,31.077
AKSHARCHEM,31.074
SWANENERGY,31.072
GAEL,31.070
UGROCAP,31.056
LXCHEM,31.052
WELENT,31.044
ROHLTD,31.042
CHEMCON,31.042
SUPRIYA,31.041
GUFICBIO,31.038
RUSHIL,31.038
M&MFIN,31.031
CAMPUS,31.029
APTECHT,31.017
MACPOWER,31.016
HIKAL,31.015
LIKHITHA,31.011
ALPHAGEO,31.010
CROMPTON,31.010
DCXINDIA,31.006
JPPOWER,3030.000
VGUARD,30.996
DBL,30.996
AHL,30.993
ADVENZYMES,30.988
GABRIEL,30.975
UNITEDTEA,30.972
CSLFINANCE,30.964
HINDZINC,30.963
DMCC,30.963
CSBBANK,30.958
HERCULES,30.957
NAHARCAP,30.957
PANAMAPET,30.955
ASHAPURMIN,30.951
OPTIEMUS,30.950
FCL,30.948
KANSAINER,30.947
ARVINDFASN,30.941
AEGISCHEM,30.938
SOTL,30.937
AWHCL,30.937
FORTIS,30.936
GRANULES,30.934
DLINKINDIA,30.934
SBGLP,30.933
NAM-INDIA,30.928
HDFCNIFIT,30.919
RESPONIND,30.918
SAKSOFT,30.918
PRICOLLTD,30.915
SILINV,30.911
MONARCH,30.910
MOLDTECH,30.910
SANGAMIND,30.907
ASTERDM,30.904
MINDACORP,30.899
FINOPB,30.897
VISHNU,30.896
AXISTECETF,30.894
ARVSMART,30.893
USHAMART,30.890
PODDARMENT,30.887
BIRLACABLE,30.887
SBIETFIT,30.883
KAYA,30.881
SCHNEIDER,30.878
BPCL,30.877
JYOTHYLAB,30.864
SHILPAMED,30.863
ROTO,30.861
DYNPRO,30.858
TVSELECT,30.858
IKIO,30.854
HCG,30.852
CMSINFO,30.852
INDOCO,30.852
CANBK,30.845
NUVOCO,30.845
SOLARA,30.844
SHREYAS,30.844
MANGLMCEM,30.841
WINDLAS,30.838
FMGOETZE,30.835
JINDALSAW,30.834
NRAIL,30.831
PNCINFRA,30.831
FDC,30.827
OAL,30.824
LUMAXTECH,30.820
APOLLOTYRE,30.819
DELPHIFX,30.819
HERANBA,30.818
JINDALPHOT,30.817
STERTOOLS,30.815
AJMERA,30.813
SALZERELEC,30.813
TCNSBRANDS,30.811
FAZE3Q,30.810
CHEMBOND,30.809
SESHAPAPER,30.806
TRIVENI,30.802
GREENPANEL,30.799
SIGACHI,30.798
HITECHGEAR,30.797
YATHARTH,30.796
ITDC,30.792
IMFA,30.792
POONAWALLA,30.792
REPCOHOME,30.782
SELAN,30.780
VTL,30.779
JKPAPER,30.777
UNIVPHOTO,30.776
WELCORP,30.774
INDIANB,30.774
JSWENERGY,30.772
SIRCA,30.768
LAURUSLABS,30.767
SANDHAR,30.765
EVEREADY,30.759
CUPID,30.759
MAHLOG,30.755
JKIL,30.754
SUBROS,30.753
ZOTA,30.751
TINPLATE,30.749
BAJAJHCARE,30.744
UNICHEMLAB,30.744
SUPRAJIT,30.743
MHRIL,30.740
NAVA,30.740
ABSLAMC,30.740
CHOICEIN,30.740
INDHOTEL,30.738
KRISHANA,30.731
SUNTECK,30.731
MIDHANI,30.731
KRBL,30.728
LAOPALA,30.725
SUMICHEM,30.721
LATENTVIEW,30.719
ASTRAMICRO,30.718
VIDHIING,30.717
BORORENEW,30.717
TATAMTRDVR,30.716
MUTHOOTCAP,30.715
UTTAMSUGAR,30.712
PONNIERODE,30.711
SUKHJITS,30.711
HARSHA,30.711
TRITURBINE,30.709
JUBLPHARMA,30.708
GOCLCORP,30.707
SIS,30.707
NIITMTS,30.707
ASALCBR,30.705
CGPOWER,30.704
MSTCLTD,30.701
SHARDACROP,30.699
DELHIVERY,30.699
CENTENKA,30.699
DICIND,30.698
GANESHHOUC,30.698
5PAISA,30.697
WIPRO,30.696
JAGSNPHARM,30.696
BALRAMCHIN,30.695
VAIBHAVGBL,30.695
UFLEX,30.692
DOLLAR,30.691
AMBUJACEM,30.690
PAVNAIND,30.690
HINDCOMPOS,30.687
REDTAPE,30.687
RISHABH,30.686
PDSL,30.684
ITC,30.684
SAHYADRI,30.684
SHYAMMETL,30.683
VARROC,30.681
GUJGASLTD,30.680
SHARIABEES,30.680
QUESS,30.679
MARATHON,30.675
AVANTIFEED,30.674
KOLTEPATIL,30.673
GREENLAM,30.670
LICHSGFIN,30.669
BANKETF,30.664
WABAG,30.663
ORIENTBELL,30.662
DALMIASUG,30.661
KIRLFER,30.661
KABRAEXTRU,30.660
KFINTECH,30.659
NEXT50,30.659
SETFNIFBK,30.657
HDFCNIFBAN,30.656
UNIVCABLES,30.656
INFOBEAN,30.655
POCL,30.654
AARTIPHARM,30.653
AXISBNKETF,30.653
KOTAKBKETF,30.653
JPOLYINVST,30.652
BANKBEES,30.651
IGL,30.647
